	eng	kor
54	Will take you, wherever you want	너를 데려갈래 어디든 원한다면
58	Oh baby, don’t worry	Oh Baby 괜히 또
62	Just want to know	Just want you to know
0	The shadow beyond the red veil	붉은 베일 너머 그림자
1	The soft silhouette puts me in a trance	여린 실루엣이 홀려 날
2	Before this scene passes, swing my way	이 장면 지나기 전에 Swing my way
3	I capture you quickly, I capture you, yeah yeah	널 캡쳐해 빨리 널 캡쳐해 Yeah yeah
4	The line that falls off thickly	굵게 떨어지는 선에
5	Just one strong movement makes my heart flutter	강렬한 몸짓 하나마저 설레
6	Before this moment passes, swing my way	이 순간 지나기 전에 Swing my way
7	I capture you quickly, I capture you, eh capture you	널 캡쳐해 빨리 널 캡쳐해 Eh 캡쳐해
8	Right this moment, dangerously	지금 이 순간 아찔하게
9	You come to me dangerously, more and more	아찔하게 다가 와 더
10	Oh I will tempt you secretly so no one knows	Oh 아무도 모르게 널 유혹할래
11	We shake each other more deeply	서로 더 깊이 흔들어
12	I have no choice but to become more thirsty the more want you	너를 원할수록 갈증 날 수 밖에
14	When you shake your tangled hair	헝클어진 머릴 흔들 때
15	I imagine that secret scent	은밀한 그 향길 상상해
16	We dance together here all night	밤새도록 같이 춰 여기 
19	Whisper to me moistly, we shake	촉촉히 속삭여 흔들려
20	Like the wine that wet me	날 적셔낸 와인처럼
21	It seeps in red, drop by drop ay	빨갛게 한 방울씩 스며들어 Ay
22	Right this moment, secretly	지금 이 순간 비밀스레
23	Secretly, come to me more, more	비밀스레 다가 와 더
26	I have no choice but to become more thirsty the more I want you	너를 원할수록 갈증 날 수밖에
28	I peel back layer by layer	널 한 꺼풀 한 꺼풀
29	Between the narrow space	새빨간 베일을 벗겨내
30	Peel back another layer	좁은 틈 사이로 또 한 꺼풀
31	Before it gets too late, swing my way	더 늦기 전에 Swing my way
34	Take advantage of the moment, more dangerously	찰나를 틈타 아찔하게
35	I get closer to you dangerously, closer, yeah	아찔하게 다가가 더 Yeah
36	You’re intoxicated, dangerously	넌 흠뻑 취한 채 위험하게
37	Dangerously, you shake me	위험하게 날 흔들어
38	We have no choice but to become crazier the more we want each other	서로를 원할수록 미쳐갈 수밖에
40	In this dark night	짙은 이 밤에
41	I think my instincts will swallow you up	터진 본능이 널 삼킬 듯
42	With no regrets, swing	후회 없이 Swing
0	The dance starts, like a dream	시작되는 춤 꿈을 꾸는 듯
1	Just looking at you makes me go crazy	바라만 보는 중 미치게 해
2	I get chills, like ooh	소름 돋아 Like ooh
3	Your seductive move	너의 매혹적인 Move
4	The dangerous curvy wave	아찔히 굴곡지는 Wave
5	I want to fall in, I wanna dive	그 속에 빠질래 I wanna dive
6	It’s as if everything has stopped	모든 게 멈춰 선 듯 해
7	When you move, when you walk	니가 움직여 걸을 때
8	The stimulus becomes my catalyst	자극은 내 촉매가 돼
9	I react with no end	난 끝도 없이 반응해
10	My body becomes honest, you know what I mean	몸이 먼저 솔직해 져 가 알잖아
13	Like I can’t breathe, I feel like you’ll embrace me	숨도 못 쉬게 넌 날 안아 줄 것만 같아
15	I feel like you’ll treat me more like a grown up	좀 더 어른처럼 넌 날 다뤄 줄 것만 같아
17	Million-dollar smile, god-drawn line	백만 불의 Smile 신이 그린 라인
18	The breath that became closer, my lips between the teeth	가까워진 숨 깨문 내 입술
19	On top of it is our rouge, you can leave some on me	그 위에 너의 Rouge 묻혀도 돼
20	It explodes out, like ooh	터져 나와 Like ooh
21	A bit more dangerous now, the groove	좀 더 위험해진 Groove
22	Your eyes look towards me	내 쪽을 향한 너의 눈
23	Sweetly, slowly, I’m gonna die	달콤히 천천히 I’m gonna die
29	I feel like treat me more like a grown up	좀 더 어른처럼 넌 날 다뤄 줄 것만 같아
32	The hair waving back and forth, dancing on your body	찰랑대는 머리 Dancing on your body
33	Whenever you move your body	다뤄 줄가 몸을 흔들 때마다
34	The waving blue horizon	물결치는 파란 수평선
35	Between the ripped space, I fall in (It sweeps me up)	찢어진 빈 틈 사이로 빠져들어가 (날 휩쓸어)
36	The white shirt wet with sweat	땀에 젖은 하얀 셔츠와
37	The scent of you that mixes in	뒤섞이는 너의 향기가
38	It breaks the strands of my sanity one by one	이성의 끈을 한 올씩 끊어지게 해
43	You’re in sexy blue, the perfect fit	You’re in sexy blue 딱 맞는 Fit
44	Really, you and me, I think we’ll go perfectly together	정말 너와 난 완벽히 어울린 것만 같아
46	I don’t think I’ll ever be able to escape you	난 널 영원히 벗어나지 못할 것만 같아
0	Oh (I captivate you)	Oh (널 사로잡아)
1	Move like this (Captivate you)	Move like this (널 사로잡아)
2	Cheeky ah! Move now	Cheeky ah! 움직여 지금
3	Could be more dangerous than you think	예상보다 위험할 수 있다고
4	You get scared	지레 겁을 먹어 버려 넌
5	If you don’t move, if you don’t get there	움직이지 않으면 닿지 않으면
6	Your world will stop just like that (Don’t be afraid)	너의 세계는 그대로 멈춰 (Don’t be afraid)
7	Move your emotions now	이제 감정들이 움직여
8	You’re going to go crazy with curiosity	넌 궁금해 미칠 거야
10	Come to me, start right away	내게 와 바로 시작해 볼게
11	I’ll give you power that you won’t be able to resist	절대 거부 못할 마력을 줄게
12	In the blowing wind, I am there	스쳐가는 바람 속에 난 스며
13	At the word that I threw out thoughtlessly	무심코 던진 또 하나의 말
14	As if you’re tranced, you can’t stop	홀린 듯한 너는 멈출 수 없어
15	I steal you so that you won’t be able to feel it anymore	결국 느낄 수 없게 난 널 훔쳐
19	Just follow my actions	내 움직임만 따라와
23	Just follow my footsteps	내 흔적들만 따라가
24	In the games of grown-ups who have matured already	이미 성숙해져 버린 어른들의 게임 속에
25	You and I, whole through the night	너와 내가 Whole through the night
27	If it’s because of fear	두려움 때문이라면
28	Don’t hesitate anymore	더 이상 너는 주저하지 말아 줘
30	You’re going to jump in in the end	너는 결국 뛰어들 거야
31	Into this jungle	이 정글 속으로
32	Leave the rest up to your imagination	다음은 상상에 맡겨
39	So you can just stand it	감당할 수 있을 만큼만 더
40	You open yourself up to me	내게 널 열어 줘
41	(You talk about you, you show me you)	(널 말해 줘 널 내게 보여 줘)
42	The still emotions flood at me	멈춰있던 감정들이 내게 밀려와
43	You become me	너는 내가 돼
44	And become trapped	(또 다시 연결된)
45	Inside my flow	내 흐름 안에 갇혀 있어
46	I’m willing to	(전부 갈망하게 돼)
47	Accept it	기꺼이 받아들이게 됐어
48	(This is destiny)	(이건 Destiny)
49	You just take it now	You just take it now!
50	The word I threw thoughtlessly	무심코 던진 또 하나의 말
56	Just my actions	내 움직임만
0	Right now, you and me	이 순간 너와 나 기분은 마치
1	It feels like we’re so high up on the waves	파도 위에 올라간 고도와 같지
2	It’s a sensual feeling, a fantastic feeling	느낌적인 느낌 환상적인 Feeling
3	Take me away	나를 데려가 줘
4	I just want to do more than anyone else	I just want to do 그 누구보다 더
5	I’ll give you a variety of love	다채로운 사랑을 줄게
6	Forever love you (Cause you are my life)	영원히 Love you (Cause you are my life)
7	Forever love you (Look at my sign)	영원히 Like you (Look at my sign)
8	Forever love you	영원히 Love you
9	Nothing better, just like this heart	Nothing better 이 맘 그대로
10	I’ll promise you forever, heart sign	평생을 약속할게 Heart sign
11	Shining on us is a bright light	우릴 비추는 Bright light
12	I’ve waited for you	그동안 기다렸던
13	I’m looking at you, only feeling	너만을 바라보고 너만을 느끼며
14	As we breathe together	함께 숨 쉬는 것
15	We’re meant to be	우린 운명이야
16	Like day and night	마치 낮과 밤이야
17	Even if the world tries to separate us	세상이 우릴 갈라 놓은 대도
19	Tonight, we’re feeling good	오늘 밤 기분 좋은
20	It’s our heart sign	우리 둘 만의 신호 Heart sign
21	Don’t care about others	남들의 시선보다 더
22	We’re following our mood	둘만의 분위기를 따라가
23	Like the cool waves, baby	이젠 시원한 파도처럼 Baby
24	I’m always ready to go to you	항상 너에게 갈 준비가 돼 있어
27	I’ll give you an unchanging love	변하지 않는 사랑을 줄게
29	Forever love you (Look at my Sign)	영원히 Like you (Look at my sign)
43	Let’s promise each other not to worry	우리 이제는 괜한 걱정은 않기로 해
44	We’re tied together with an invisible string	보이지 않는 끈으로 묶여져
45	We can never be undone	풀릴 수 없는 사이니까
46	You’ve tied me up so tightly	아주 꽉꽉 묶어놨지 날 날
47	Strongly fly fly, I like that we’re together	더 당당하게 Fly fly 함께라서 좋아 다
48	Such an ecstatic feeling	가장 황홀한 느낌
49	A realistic daydreaming	가시적인 Daydreaming
50	We’ll be together forever	영원히 함께할 너와 나
51	Even if we’re at different places	다른 곳에 있다 해도
53	We’ll look at each other, feel each other	서로를 바라보고 서로를 느끼며
54	Breathe together	함께 숨 쉬는걸
61	Everybody knows, they already know us	Everybody knows 이미 알잖아 우린
62	They can try but they can’t tear us apart	뗄레야 뗄 수 없는 사이인걸
63	Don’t worry, I’ll protect you till the end	걱정은 하지 마 끝까지 널 지켜 줄게
64	It’s our heart sign	우리만의 신호 Heart sign
2	Haven’t you seen a face this pretty before?	이런 이런 예쁜 얼굴 첨 보니?
3	It’s too early to be surprised, slow down slow down	놀라기는 아직 일러 slow down slow down
4	How dare you think of me easily?	어디라고 감히 날 넘 보니?
5	I’m back so bow down bow down	내가 돌아 왔으니까 bow down bow down
6	Jealousy, envy, that’s cute	질투 시기는 귀여워
7	I’m just born this way	그렇게 타고 났나봐
8	Hurry and take a pic	빨리 사진 찍어둬
9	I’m rising even higher	난 더 위로 올라가
10	I do what I want, I do what I always did	하고 싶은대로 하고 하던대로 해
11	I don’t care about the coach anymore	코치의 눈치는 따가워 이제
12	I’m immature, I will never grow up	난 철없지 I will never grow up
13	I’ll close my eyes and run away	난 눈을 감고 run away
14	This is me	Woo 원래 그런 나인거야
15	I won’t hide	숨기지 않을거야
16	I know I’m different	난 다르단걸 알아
18	You, I hope you know this too	You 너도 알고 있으면 해
19	I feel good	좋아 이 기분
20	Tell me what you want Tell me what you do	Tell me what you want tell me what you do
21	You should watch carefully	잘봐둬야해
23	Nobody, no one but I do	Nobody no one but I do
24	I don’t want to cross the line	나도 선을 지키고싶어
25	But I think I’ll go crazy	벌써 난 미칠 것 같아
28	I’m already going crazy	이미 난 미치고있어
29	This chemical makes me pass my limit	한계점을 넘어선 케미컬
31	Woah uh ooh woah (Hey!)	woah uh ooh woah (hey)
38	This chemical makes me pass my limit	한계점을 넘어선 chemical
41	Hurry and take a pic	나도 내가 참 부러워
43	Everyone looks at me and dreams	다들 나를 보면서 상상해
44	If you close your eyes, I’m in your dreams	눈을 감으면 난 네 꿈속에
45	Wanna play with me? What else?	날 가지고 놀고 또 뭐 할래?
63	It’s coming even before I can get far away	멀어지기 전에 또 다가오네
64	A new session that I’ll face	날 맞이 할 new session session
65	I won’t regret at my last chance	나의 마지막에 후회가 안남게
67	I don’t know what you’re waiting for,	I don’t know what you’re waiting for
0	The sun is blue	푸른빛 태양
1	The stars are purple	보라색 별
2	Flowers are dancing	꽃이 춤춰
3	The songs are extra	노래는 덤
4	From somewhere	어디선가
5	Someone is talking to me	말을 거네
8	It’s like a lie	거짓말 같아
9	A grand sight that’s like a lie	거짓말 같은 장관
10	I close my eyes then open them	눈 감았다 떴다
11	Several times	몇 번을 감았다 떴다
12	I’m like Columbus, you know this feeling?	지금 난 마치 콜럼버스, 이 기분 맞지?
13	A frog and turtle, speaking to me	반말하는 개구리와 거북이
14	Red sunflowers	빨간색 개나리 해바라기
15	What is that?	저건 뭐야?
17	It’s like I’m dreaming	꿈을 꾸는듯해
18	Please, don’t wake me up oh oh	제발 don`t wake me up oh oh
20	One day, two days, three days, four	하루 이틀 사흘 나흘
21	I don’t know what day it is today	오늘이 며칠인지 몰라
22	Where am I? Who are you?	나는 지금 어디 너는 누구
23	I’ve never felt this way before	처음 느껴 보는 이런 기분
24	This is paradise	지금 여긴 많이 paradise
25	I don’t know, let’s just party all night long	모르겠고 일단 party all night long
27	The stars are purple (Let me free)	보라색 별 (Let me free)
30	From somewhere	또 어디선가
31	Someone is talking to me (Let me free)	말을 거네 (Let me free)
32	All night, hurry Party all night long	밤새도록 어서 party all night long
33	Oh will you follow me?	Oh a 날 따라올래 너
34	Oh will you follow me?	Oh a 날 따라올래 you
35	Oh till the sun comes up? right	Oh a 해 뜰 때까지 right
37	I see the stars on the ceiling, hurry and get on	천장엔 별이 보여 어서 올라타
38	Let’s follow the light, spinning and spinning	그 위에 빛을 따라 돌고 돌아 난
39	It’s so hot, I’m warming up	아 뜨거워 난 후끈 달았네
40	Purple paradigm, I followed it inside	보랏빛 paradigm 난 따라 들어왔네
41	Dying and coming back to life, it keeps repeating	죽었다 살았다 반복해 계속
42	No one forces anything here	누구도 억지로 맞춰있진 않지
43	Under the blue sun	푸른빛 태양 아래서
44	It’s so dazzling, dazzling, dazzling	눈부셔 눈부셔 눈부셔 oh 부셔
66	Above the pink sand	분홍빛 모래알에
67	Above the rainbow sea	무지갯빛 바다 위에
68	Let’s draw out a fantasy dream	그려볼까 더 환상적인 꿈
69	Whatever it is, it’s beautiful here	지금 여긴 뭐든지 아름다워 oh
70	Let’s walk on water	바다 위를 걸어볼까
72	Let’s hold hands	우리 손을 잡고
73	And dance like crazy, night and day	미친 듯이 춤을 추자 night & day
0	Right now, we’re at a ocean blue	여기 지금 우린 오션블루
1	Somewhere above the waves	파도 위 어디쯤인가
2	Still together	함께 하고 있어 여전히
3	Though we don’t know where we’re going	어디로 갈진 모르지만
4	Cheers, cheers	건배 건배
5	Under the hot sun right now	이 순간 뜨거운 태양 아래에서
6	Go away, go away	Go away Go away
7	Throw away all hesitation	망설임은 버려 다
9	Think, think, think	생각해 생각해 생각해
10	We’ve already overcome so much	우린 벌써 많은 것을 넘어
11	Remember, remember, remember	기억해 기억해 기억해
12	Time keeps passing	시간은 흘러가는 것
13	Across the sea (just going on)	저기 바다를 넘어 (Just going on)
14	When we are headed toward the hot sun	찌는 태양을 향해 갈 때
15	[Yeo/Jong] Even if we want to stop	[여/종] 멈추고 싶은 순간이 와도
16	Just brush back your hair and shout	머리 한 번 쓸어 넘기고 외쳐
18	It’s coming even more	더더더 밀려와 더
21	But we’ll jump over the rough waves	거친 파도를 넘어
22	Looking for the mystery island, follow us	미지미지의 섬을 찾아 follow us
23	Across the lower reach of the Mississippi River, where we go?	미시시피강 하류를 건너 where we go?
26	The more we travel together	떼로 다닐수록
27	The more the waves come, we	파도가 칠수록 파다다닥
29	Let’s take a trip to the sea	바다를 향해 trip
30	Throw it all away, drink	다 던져버려 drink
31	Enjoy this moment	이 순간을 즐겨
33	Go into the waves	파도 안에 슈잉
34	Mindlessly, click	더 정신없이 click
35	Are you ready to find it?	넌 찾을 준비 됐어?
36	The light under the sun	저 태양 아래 빛
46	Where you are	네가 있는 곳에
47	I’ll be there	나도 서 있을게
48	Hold my hand, hold my hand	내 손을 잡아 내 손을 잡아
49	We just need each other	우리 둘이면 돼
50	The rougher it is, the better	거칠다면 거칠수록 좋아
51	Cuz we’re just gonna play above that	우린 그 위에서 놀 거니깐
53	If this moment is our wave (our wave)	지금 이 순간이 우리의 파도라면 (파도라면)
54	Don’t be afraid, face it with more strength	두려워 말고 더 힘껏 마주하길
55	Because we’re hotter than anyone else under the sun	우린 태양 아래 누구보다 더 뜨거우니까
56	Don’t worry (don’t worry)	걱정하지 마 (걱정하지 마)
57	Don’t worry	걱정하지 마
58	Jump over that wave	저기 파도를 넘어
0	The warm breeze	따스하게 불어오는 바람도
1	Leaves excitement	설레임을 남기고 가
2	Did you give it to me? I wonder	나에게 준 걸까 I wonder
3	If it’s right, please take me too	혹시 맞다면 나도 좀 태워가 줘
4	I’m your fluttering petal	난 너의 흩날리는 꽃잎인 걸
5	Let’s go up there	자 떠나자 저 위로
6	Higher than the cumulus clouds	뭉게구름보다 위로
7	By holding hands, run on the sky	손을 잡고서 달려 봐 On the sky
8	Let’s leave to somewhere	자 떠나자 어디로
9	By riding on our feeling	우리의 기분을 타고
10	Day by day, my heart is missing you	하루가 다르게 니가 보고 싶어지는 내 맘
11	Naturally I’m just looking for you	자연스레 너만을 찾아서
12	And riding on your season	난 너라는 계절을 타고 있는 걸
13	I miss you, please come before me	보고 싶어 보고 싶어 내 앞에 나타나 줘
14	I’m still hovering around you	난 아직도 니 주위를 맴도는 걸
15	When I pick you up every day (Oh baby)	매일 널 데리러 가서 (Oh baby)
16	If you ride on my heart (So beautiful)	내 맘에 타면 (So beautiful)
17	I feel like we (I want to be spring for you)	우리는 마치 (I want to be spring for you)
18	Become one when	하나가 된 것 같아
19	I pick you up (Oh baby)	널 데리러 가서 (Oh baby)
21	Then we’ll	우리는 그때 (I want you in my heart)
22	Become one (I want you in my heart)	하나가 될 거야
23	With the light flap of wings, come on my shoulders	가벼운 날갯짓으로 내 어깨 위로 와
24	Above the unstained clouds, shall we leave together?	먹 묻지 않은 구름 위로 같이 떠나 볼까
25	Even if we throw away everything of us in the sky and wind	하늘과 바람에 우리 전부를 던져도
26	Nothing is dangerous, we’re on cloud 9	위험할 일이 없어 We’re on cloud 9
27	I’m okay with only you	난 너 하나면 되고
28	In this beautiful place	둘도 없이 아름다운 곳에서
30	We ridin in a classic car	We riding in a classic car
31	You’re my perfect score, the five star classic	넌 나의 오점 만점 별 다섯 개 Classic이야
42	The wind brushing against my cheek	볼을 스치는 바람
43	The color of sunset in your eyes	너의 눈에 비친 노을빛
44	I hope this will stop here	이대로 멈춰 버렸음 해
45	I want to seize this moment	이 순간을 붙잡고 싶어
46	Please remember To me you were	기억해 줘 너는 내게
47	A warm day	따스했던 날인 걸
0	In your eyes	나를 비추는
1	That shine on me	빛나는 너의 눈에
2	I’m afraid that someone else	다른 누군가
3	Will enter	들어올까 봐
4	Useless worries	괜한 걱정만
5	I’m such a fool	또 바보 같은 난
6	My heart is opened toward you	너를 향해 여기 활짝 핀 맘
7	But I’m hiding it	감춰 보네
9	As much as the days	길어진 하루해만큼
10	Grow longer	짙게 내린 어둔 달빛 틈에도
11	Even between the thick moonlight	이대로 천천히 나
12	I want to slowly go to you	다가가고 싶어
14	Slightly brushed past you	살짝 스치듯이
15	Our eyes met	마주친 눈빛
16	My heart hasn’t reached you	닿지 못한 맘이
17	It’s waiting	너를 기다려
18	I wanna tell you	말해 줄래
19	These hidden words now	꼭 숨겨둔 그 말 이제
21	Without even knowing	나도 모르게
22	Wherever your eyes go	니 눈이 닿는 곳에
23	I want to	자꾸 내 마음
24	Place my heart	두고 싶어져
25	The deeper my feelings grow	깊어질수록
26	The more nervous I get	왠지 불안한 난
27	My heart has scattered toward you	너를 향해 온통 흩어진 맘
28	I’m trying to send it to you	챙겨 보네
37	My heart hasn’t reached you, it’s waiting	닿지 못한 맘이 너를 기다려
41	I’m inexperienced	서투르게
42	And a bit awkward	조금은 어색해도
43	But my truth is here	진심을 가득 여기 담아
46	As much as the night sky	짙어진 밤하늘만큼
47	Has gotten thicker	깊게 베인 봄의 설렘까지도
48	Even the deeply settled spring fluttering	이대로 천천히 나
49	I want to slowly tell you	전해 주고 싶어
51	This small heart	점점 포개지는
52	Is overlapping	작은 이 마음
53	I close my eyes and draw you out	눈을 감아도 난 너를 그려
22	A momentary brilliance	찰나의 반짝임
23	Now the faded memories	이제는 바래진
24	Are like dust	추억은 먼지 같아
25	Can’t catch it	걷잡을 수 없이
26	Our times together	우리의 시간은
27	Are now over	이제는 끝이 났어
28	(Ye ye ye) Memories are fading	(Ye ye ye) 기억은 더 흐려지지
29	Even the way I used to look at you	널 보던 내 눈빛까지
30	(Ye ye ye) Just like the wind never lingers	(Ye ye ye) 바람이 머물지 않듯
31	Yeah I’ll just pass you by	Yeah 그대로 널 지나쳐
33	It’s no use waiting	기다려도 소용없을 거야
35	That’ll never happen	아마 그런 일은 없을 거야
46	Missed call, another missed call	부재중 전화 또 부재중 전화
47	12, 12:30, 2, 2:30am	12시 12시 반 2시 또 2시 반
48	I’m getting stressed cuz of you	스트레스 받아 미치겠어 제발 너 땜에
49	I can’t sleep, what are you thinking?	잠을 못 자 지금 도대체 뭔 생각으로
50	No don’t say it	이러는 거야 NO don’t say it
51	Besides you right now	네가 아니라도 지금 내 옆엔
52	I have so many things to lean on, I don’t wanna go back	기댈 데가 많아 I don’t wanna go back
0	Standing on this endless road	끝이 없는 이 길 위에 서 있어
1	In this place impossible to know where	어디인지 알 수 없는 곳에
2	Still in the same place no matter how much I walk	끊임없이 걸어봐도 제자리
3	Where am I going towards	어딜 향해 가고 있는 건지
4	Wondering again like I am stuck in a maze	미로에 갇힌 듯 또 헤매고
5	No matter how much I look around	아무리 주위를 보아도
6	There is no solution	해답은 없어
7	There is no answer, I am only alone	대답은 없어 혼자일 뿐
8	In this black darkness	깜깜한 이 어둠에
9	I need a hand of light	빛의 손길이 필요해
11	The getting brighter light light light light inside	찬란해지는 light light light light 그 안에서
12	I fly fly fly fly, cross over me	난 fly fly fly fly 나를 넘어
13	Run higher when I meet the sky	더 높이 달려 저 하늘과 마주할 때
14	Oh right right right now I try searching for you	Oh right right right now 찾아봐 널
18	Rain day one man is	Rain day one man은
19	Running on the road woo run away	길을 달리네 woo run way
20	Poppin’ rollin’ the champagne	Poppin’ rollin’ 샴페인은
21	There is a goal in point in front	저 앞 goal in 지점에 있지만
22	I can’t shake it, my shoes	흔들 수가 없네 내 신발은
23	Michael Jordan	michael jordan
24	Open my sleepy eyes, goal in oh oh	졸린 눈을 뜨고 골인 oh oh
25	Others are just different	다들 다른 것뿐이지 틀린 건
26	I’m no nope wrong	no nope
27	Hold up a little more	조금 더 hold up
28	The trap embraces me	덫은 날 감싸고 옭아매 더
29	Placing more endless bets	끝이 없는 내기를 해
30	Someone’s game	누군가의 game
31	Makes me feel the shame	makes me feel the shame
32	Feel the shame now	feel the shame now
33	At the end of a long wandering	긴 방황 그 끝에서
34	Waking up again new	다시 새롭게 깨어나
43	At the end of a long dark night	길고 긴 어둔 밤의 끝에서
44	A brighter light pours	더 밝은 빛이 쏟아져
45	I open my closed eyes again	난 다시 감고 있던 눈을 떠
46	Finding the me that makes me run	다시 뛰게 해줄 나를 찾아
47	Run away	Run away (Oh)
48	We run run run now oh run away	We run run run now (Oh) oh run away (Baby right now)
49	We run run run now oh run away	(Oh~) We run run run now oh run away
3	Just for today	나 오늘 딱 하루만큼은
4	I’m going to be a bit selfish, I don’t want to fake it anymore	좀 이기적일래 더는 가식 안 할래
5	Even if I try to hide it	숨기려고 애를 써봐도
6	It’s no use, but I still keep trying, why	아무 소용 없는데 자꾸 애를 써 왜
7	I thought about it a lot but there is only one answer, it’s you	고민해 봤지만 답은 하나 너란 말이야
8	I’ll ask you seriously, what do I mean to you?	진지하게 물어볼게 나는 어떤 의미인 거야?
9	There’s only one thing I want to hear	듣고 싶은 말은 하나
11	A some or whatever, I don’t want it	썸이고 뭐고 난 안 해
13	You and me, within today	너랑 나 오늘 안에는
14	Feedback, feedback, feedback, feedback	Feedback feedback feedback feedback
17	Yeah, uh, one and only life	Yeah, uh 한 번뿐인 삶
18	Even if I spend it talking only about love, it might still be too short	사랑에 대해만 얘기해도 모자랄까 봐
19	Without you, with my thoughts alone	하룻밤, 너 없이 생각만으로 하얗게
20	I stay up all night	새 버렸는지도
21	Hurry up and get on my flow	빨리 Flow에 올라타
22	Before all my feelings burn up, before I let go of it all	내 감정 다 타버리기 전에 다 놔버리기 전에
23	Give me your surprise, I’m curious	Oh my god 너의 놀라움을 내게 줘 궁금해
24	From your mouth, the feedback about me	너의 입속 나에 대한 Feedback
25	I’m not an easy person, but I’ll be easy to you	쉬운 사람 아닌데 네겐 쉽게
26	You can tell me everything	뭐든 내게 말해 줘 가끔 쉴 땐
27	Sometimes when you rest, so that it’s refreshing	정말 시원하게
28	I’ll make a space for you above the clouds	너 자린 하늘 위로
29	Hurry up and come out of your labyrinth	마련해 놓을 게 어서 나와 봐 너의 미로
30	The sound of your breathing, every word you say	너의 숨소리 한마디도
31	Is like a letter to me, I keep thinking about it	내겐 편지 같아 몇 번을 떠올리고
32	Lift off, I’ll shoot us up	Lift off 우릴 쏘아 올려
33	I’m waiting for what you will say to me	기다리고 있어 내게 해줄 말
34	We look good together	우린 잘 어울려
38	I want a feedback I want a feedback from you	I want a feedback I want a feedback
0	It’s clear weather all the way through	저기 멀리까지 탁 트인 투명한 날씨야
1	Right that’s how the blue color should be	그래 파란색은 이게 파랑인 거지
2	We had to meet on a fine day like this	이런 날에 우린 만나지 않을 수 없었지
3	So that we can spend such a rare day together	흔하지 않은 이 날을 함께 하러
4	There were not many days with unclear air between us	우리 사이 공기는 그 언제나 탁한 날 적었지
5	The excitement from being able to see you every day	하루하루 너를 본단 그 기대란 건 정말
6	I remember you as the respirator of that season	그 계절의 마치 호흡기 같던 너라는 추억
7	But now I run out breath longing for you	이제는 그리움이라는 숨 가쁨
8	Whenever I think of you where you may be	어딘가 살고 있을 너를 떠올리는 날
9	As I live my easy-going life pretending it’s not	아닌 척 무던하게 내 삶을 사는 내가
10	Even if it’s a bit awkward it’s somewhat livable	어딘가 어색하대도 그럭저럭 살아갈 만해
11	Even the days that are harder to bear	가끔 견디기 벅찬 날도
12	This street is a bit strange without you but it’s okay	너 없는 거린 조금 낯설지만 괜찮아
13	It’s okay if the steps I take are light	내딛는 발걸음이 단촐해도 괜찮아
14	Someday I’ll walk again with someone	이러다 언젠가 누군가 함께 걷겠지
15	On the street in such fine weather	이렇게 멋진 날씨 속 거리를
16	I’ll change too just like the sky clears after rain	비 온 뒤에 개인 하늘처럼 나도 바뀌겠지
17	You said nothing lasts forever	영원한 건 없는 거라 내게 말했었잖아
18	Once I endure this season we’ll be perfect strangers	이 계절만 잘 견디면 완벽한 타인 될 거야
19	When this cruel fine weather passes by	이 잔인한 좋은 날씨가 지나면
28	Maybe I alone put too much meaning to the past	나 혼자 지난날에 너무 큰 의미를 두나 봐
29	Like the people smiling so brightly outside the window	차창 밖에 마냥 밝게 웃는 사람들처럼
30	I just need to live like that they do it so easily	그렇게 살면 되는데 그렇게 쉽게 되는데
31	It’s no big deal it was just one-time love	그게 뭐라고 고작 사랑 한 번
32	So what I don’t have love the sun is comforting me	사랑 그거 좀 없으면 어때 햇빛 날 토닥여
33	It says it would shine upon me even if I were alone	나 혼자만을 위해서도 비춰 줄 거래
34	Regardless everything will be fine we were so happy together	어쨌던 다 잘 될 거야 우리 참 좋았었잖아
35	Just for that I thank you	그것만으로도 넌 고마워
36	Like today’s weather I hope your days shine	오늘 날씨처럼 너의 날이 빛나길
37	You can erase the past with just one smile	지난날 그까짓 거 미소 한 번에 지워
38	With a deep breath I take thanks to the clear air	맑은 공기 덕에 들이마신 큰 숨에
39	I cover you up with that blue sky	너를 저 파란 하늘로 덮는다
40	I send you away to that blue sky	너를 저 파란 하늘로 날린다
1	To the ends of the universe, yey yeah	우주 저 끝까지 yey yeah
2	Brightly shine the night sky	밤하늘 밝게 빛나줘
3	We’re so high, yeah	우린 so high yeah
5	Till we see the sun rise, yey yeah	햇빛 볼 때까지 yey yeah
6	Because our youth is so short	청춘은 더 짧기에 모두
7	Everyone come to the after party	AFTER PARTY해
8	Scared of losing my mind	정신줄 놓기엔 두려워
9	I think I’ll go crazy today	나 오늘 미칠 것 같애
10	I’m awakening my inner child	철없던 날 다시 깨워
11	I do what I want, where am I?	I do what I want 난 어디에
12	Higher than the 63 Building	63빌딩보단 더 높게
13	Just enough so I don’t lose my consciousness	인사불성만 되지 않게
15	Today, I’m gonna get messed up	오늘은 나 망가지려 해
17	There’s no love to fill us up	우릴 채울 사랑도 없으니까
19	Raise a glass to us	우릴 위한 축배를 들테니까
21	With hot songs	핫 한 곡들로
22	Doesn’t matter where you’re from	어디 출신이든 다 상관없어
23	With the moonlight during the evening sunset as my friend	저녁노을 진 달빛을 벗삼아
34	There’s no worries	고민없기에
37	For today	오늘을 위해
39	Like an excited 10-year-old	들뜬 열 살짜리 애처럼
